,Round,Info Slide,Motion
0,Varsity Round 1,"COPPA (Children's Online Privacy Protection Act)  is a law that enforce  a regulations concerning children’s online privacy.The primary goal of COPPA is to place parents in control over what information is collected from their young children online. Through this law content creator’s video that is deemed to be “kid’s content” on website such as Youtube, would not be able to collect data, have targeted ads, and becomes demonetized.",TH welcomes the rise of media portrayal about the lives of early teenagers exploring the sexual nature of themselves and the societies they live in (e.g. cuties)
1,Varsity Round 2,"Theoretically, there are 2 parameters of criminalization.
Mens Rea: Guilty Intention A set of all criminal actions would contain those which are committed by guilty intention. The punishment given to perpetrators will also be proportional to the degree of guilt of their intention.
Actus Reus: Guilty ActionA set of all criminal actions would contain those which cause harm (material & immaterial) . The punishment given to perpetrators will also be proportional to the amount of cumulative harm they create",THBT The Criminal Justice System should be redesigned in a way that disproportionately highlights the premise of 'mens rea' over 'actus reus’
2,Varsity Round 3,"TERF: abbreviation for Trans-Exclusionary Radical Feminist
The exclusionary of trans-women from feminism or women label have been widely opposed, and deemed transphobic by liberals.  People who support the idea of this exclusion are called 'TERFs' which is a label meant to be derogatory as the adjective 'radical' and 'exclusionary' are not desirable traits in an open and progressive society.
There are many reasons why people become 'TERFs', ranging from the very conservative ideas that everyone should be subject to the sex and gender they were assigned at birth, to the more moderate ones where some degree of sexual & gender fluidity may be acceptable.
For the purpose of this debate, 'TERFs' are people whose beliefs are as follows:1) Sex & gender are different things, where sex is related to biology and gender is related to expression.2) Everyone, regardless of their sex, is able to freely express themselves like whichever gender (or lack thereof) they want.3) Sex is not a social construct and should not be determined by self-identification. For example: a biological male athlete who identifies as a woman can't participate in a woman's category.4) The only legitimate change for sex change is when individuals possess medical conditions called 'gender dysphoria' and commit to a gradual, yet complete, sex re-assignment surgery.","As citizens concerned with social justice, TH prefers forwarding Marxists' school of thought that emphasizes on material inequality as a primary source of oppression, rather than intersectionality concept in which identities like race, religion, and sexuality majorly affect them"
3,Varsity Round 4,"On September, Israel and UAE gathered and signed a conundrum. The conundrum consisted of several points that will allow more political and economic relations between the two parties. It says that the conundrum represents an unprecedented agreement. Some part of the agreement is how  UAE agrees to recognize Israel as a Jewish state and Israel would cease all attempts to annex the west bank.","THBT the US and EU should declare their support to Belarusian civilian and opposition, along with assisting their democratic struggle against the incumbent regime"
4,High School Round 1,Cancel culture refers to the popular practice of withdrawing support for (canceling) public figures and companies after they have done or said something considered objectionable or offensive. Cancel culture is generally discussed as being performed on social media in the form of group shaming.,THR the rise of cancel culture
5,High School Round 2,"Filial responsibility law obliges adult children to pay for their indigent parents’/relatives' food, clothing, shelter and medical needs. Should the children fail to provide adequately, they allow nursing homes and government agencies to bring legal action to recover the cost of caring for the parents. Adult children can even go to jail in some states if they fail to provide filial support.","As a child who has differing life and ideological preference with their parents, This House Would actively hide their preference from their parents"
6,High School Round 3,"RUU-PKS is a bill that aims to comprehensively define which sexual conduct is legitimate and, more importantly, which should be regarded as a crime.
The opposition to this bill comes from conservative groups/parties. (for example: PKS, ironically). one of the leading argument was that RUU-PKS is a bill used to further justify and promote consensual same-sex relationships in the eyes of the law.","As Conservative Gerindra Supporters, This House Regrets Gerindra’s decision to carry candidate from Jokowi's family member."
7,High School Round 4,,This House regrets the capitalization of misery as the main theme in artworks (including but not limited to: Pilu Membiru Experience)
8,Varsity Pre-Quarterfinals,"Unaccompanied Alien Children Program is a program that houses immigrant children that arrived to the US Mexico border unaccompanied by their parents, they're usually taken care of by their relative living in the state or in a foster care.","TH, as immigrant parents, would put their children under Unaccompanied Alien Children Program as opposed to living in Mexico"
9,Varsity Quarterfinals,"Some historian believes that Buddhism is a religion that was built as a response against the unequal caste system that Hinduism employ at the time. This, combined with the pervasive corruption within Brahmana and Kshatriya caste make Buddhism seems appealing, especially for the lower caste member of Indian society at the time. One of the core principles of Buddhism that appeals to Indian society at the time was that everyone can access enlightenment regardless of their societal standing, something that was previously thought only accessible to those of the upper caste, especially Brahmana.
Despite the progressivity, there have been some rules in Buddhism monastery that are blatantly discriminatory to women, such as the addition of extra 58 rules that apply only to the female monk that some scholar argues to be somewhat sexist. Some of these rules even contemporary female monks themselves still argue to be sexist. (Example includes but not limited to; Not being able to go out alone at night, explicit requirement to be respectful to the younger male monk)
Historian argues that this was done to cater to the social dynamics during the time, as it was necessary knowing the framework in which monks survives is by voluntary donation. (By the holy books of Vinaya, they are not allowed to work and gain means of sustenance on their own)","With the benefit of hindsight, THBT Buddha should have pursued equality for gender in his teaching even at the cost of the decreasing societal support"
